Record Type,Internal Name,Display Name,Category,Base Class,Spawn Status,NPC Slots,Runtime Slot Overrides,Life Max,Damage,Defense,NPC.boss,Friendly,Town NPC,Rule Method,Rule Weight,Progression,Biome,Depth,Time,Random Gate,Water,Conditions,Source File,Source Line
NPC Spawn Rule,AbyssLurker,Abyssal Strider,Enemies,ModNPC,Natural spawn rules,3,—,1600,70,90,No,No,No,SpawnChance,0,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Excluded,(!(spawnInfo.Invasion)) && (!(spawnInfo.Water)) && (!(tsorcRevampWorld.SuperHardMode && (spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson) && Main.rand.NextBool(10))) && (!(tsorcRevampWorld.SuperHardMode && spawnInfo.Player.ZoneUnderworldHeight && Main.rand.NextBool(5))),NPCs/Enemies/SuperHardMode/AbyssLurker.cs,84
NPC,AbyssPortal,Abyssal Fissure,Special,ModNPC,No natural spawn method,10,—,300000,—,38,No,No,No,None,—,—,—,—,—,—,—,—,NPCs/Special/AbyssPortal.cs,11
NPC,AncestralSpirit,Ancestral Spirit,Bosses,ModNPC,No natural spawn method,1,—,—,—,—,No,No,No,None,—,—,—,—,—,—,—,—,NPCs/Bosses/AncestralSpirit.cs,13
NPC,AncientDemon,Defiled Demon of the Forgotten City,Bosses,ModNPC,No natural spawn method,1,—,10000,27,15,Yes,No,No,None,—,—,—,—,—,—,—,—,NPCs/Bosses/AncientDemon.cs,16
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,(0.0005f) * (2),SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f))) && ((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight)) && (Main.bloodMoon),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,0.0005f,SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f))) && ((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight)) && (!(Main.bloodMoon)),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,((0.001f) * (2)) * (2),SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f))) && (!((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight))) && (Main.bloodMoon),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,(0.001f) * (2),SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f))) && (!((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight))) && (!(Main.bloodMoon)),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,(0.0005f) * (2),SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (!(((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f)))) && ((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight)) && (Main.bloodMoon),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,0.0005f,SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (!(((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f)))) && ((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight)) && (!(Main.bloodMoon)),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,(0.001f) * (2),SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (!(((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f)))) && (!((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight))) && (Main.bloodMoon),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,0.001f,SuperHardmode,Underworld,Underworld,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (spawnInfo.Player.ZoneUnderworldHeight) && (!(((spawnInfo.Player.position.X < Main.maxTilesX * 0.3f) || (spawnInfo.Player.position.X > Main.maxTilesX * 0.7f)))) && (!((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight))) && (!(Main.bloodMoon)),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,(0.0005f) * (2),SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (!(spawnInfo.Player.ZoneUnderworldHeight)) && ((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight)) && (Main.bloodMoon),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,0.0005f,SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (!(spawnInfo.Player.ZoneUnderworldHeight)) && ((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight)) && (!(Main.bloodMoon)),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,(0) * (2),SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (!(spawnInfo.Player.ZoneUnderworldHeight)) && (!((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight))) && (Main.bloodMoon),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,0,SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(tsorcRevampWorld.SuperHardMode) && (!(spawnInfo.Player.ZoneUnderworldHeight)) && (!((spawnInfo.Player.position.Y >= (Main.maxTilesY * 0.6f) && !spawnInfo.Player.ZoneUnderworldHeight))) && (!(Main.bloodMoon)),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,(0) * (2),Pre-Hardmode + Hardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!(tsorcRevampWorld.SuperHardMode)) && (Main.bloodMoon),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC Spawn Rule,AncientDemonOfTheAbyss,Great Demon of the Abyss,Enemies,ModNPC,Natural spawn rules,10,—,15000,110,70,No,No,No,SpawnChance,0,Pre-Hardmode + Hardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(!(tsorcRevampWorld.SuperHardMode)) && (!(Main.bloodMoon)),NPCs/Enemies/SuperHardMode/AncientDemonOfTheAbyss.cs,98
NPC,AncientOolacileDemon,Ancient Oolacile Demon,Bosses,ModNPC,No natural spawn method,1,—,4800,46,18,Yes,No,No,None,—,—,—,—,—,—,—,—,NPCs/Bosses/AncientOolacileDemon.cs,16
NPC Spawn Rule,Archdeacon,Archdeacon,Enemies,ModNPC,Natural spawn rules,3,—,500,0,20,No,No,No,SpawnChance,0.3f,Hardmode,Sky,Sky,Day and night / unspecified,—,Unspecified,"(spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && Main.hardMode && !tsorcRevampWorld.SuperHardMode && !tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.WyvernMage.WyvernMage>())))",NPCs/Enemies/Archdeacon.cs,49
NPC Spawn Rule,Archdeacon,Archdeacon,Enemies,ModNPC,Natural spawn rules,3,—,500,0,20,No,No,No,SpawnChance,0.01f,Hardmode,Sky,Sky,Day and night / unspecified,—,Unspecified,"(!(spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && Main.hardMode && !tsorcRevampWorld.SuperHardMode && !tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.WyvernMage.WyvernMage>())))) && (spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && Main.hardMode && !tsorcRevampWorld.SuperHardMode && tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.WyvernMage.WyvernMage>())))",NPCs/Enemies/Archdeacon.cs,51
NPC Spawn Rule,Archdeacon,Archdeacon,Enemies,ModNPC,Natural spawn rules,3,—,500,0,20,No,No,No,SpawnChance,0.2f,SuperHardmode,Sky,Sky,Day and night / unspecified,—,Unspecified,"(!(spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && Main.hardMode && !tsorcRevampWorld.SuperHardMode && !tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.WyvernMage.WyvernMage>())))) && (!(spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && Main.hardMode && !tsorcRevampWorld.SuperHardMode && tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.WyvernMage.WyvernMage>())))) && (spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && tsorcRevampWorld.SuperHardMode && tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.SuperHardMode.GhostWyvernMage.WyvernMageShadow>())))",NPCs/Enemies/Archdeacon.cs,53
NPC Spawn Rule,Archdeacon,Archdeacon,Enemies,ModNPC,Natural spawn rules,3,—,500,0,20,No,No,No,SpawnChance,0,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,"(!(spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && Main.hardMode && !tsorcRevampWorld.SuperHardMode && !tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.WyvernMage.WyvernMage>())))) && (!(spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && Main.hardMode && !tsorcRevampWorld.SuperHardMode && tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.WyvernMage.WyvernMage>())))) && (!(spawnInfo.Player.ZoneSkyHeight && (Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.MeteoriteBrick || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].WallType == WallID.Glass) && tsorcRevampWorld.SuperHardMode && tsorcRevampWorld.NewSlain.ContainsKey(new NPCDefinition(ModContent.NPCType<NPCs.Bosses.SuperHardMode.GhostWyvernMage.WyvernMageShadow>()))))",NPCs/Enemies/Archdeacon.cs,55
NPC Spawn Rule,ArmoredWraith,Unarmored Wraith,Enemies,ModNPC,Natural spawn rules,1,—,75,48,25,No,No,No,SpawnChance,.04f,Pre-Hardmode + Hardmode + SuperHardmode,Meteor,Surface or Underground or Caverns,Night,—,Unspecified,(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneOverworldHeight) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneDirtLayerHeight) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneRockLayerHeight),NPCs/Enemies/ArmoredWraith.cs,51
NPC Spawn Rule,ArmoredWraith,Unarmored Wraith,Enemies,ModNPC,Natural spawn rules,1,—,75,48,25,No,No,No,SpawnChance,.033f,Pre-Hardmode + Hardmode + SuperHardmode,Meteor,Surface or Underground,Night,—,Unspecified,(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneOverworldHeight) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneDirtLayerHeight) && (!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneRockLayerHeight)),NPCs/Enemies/ArmoredWraith.cs,51
NPC Spawn Rule,ArmoredWraith,Unarmored Wraith,Enemies,ModNPC,Natural spawn rules,1,—,75,48,25,No,No,No,SpawnChance,.04f,Pre-Hardmode + Hardmode + SuperHardmode,Meteor,Surface or Caverns,Night,—,Unspecified,(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneOverworldHeight) && (!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneDirtLayerHeight)) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneRockLayerHeight),NPCs/Enemies/ArmoredWraith.cs,51
NPC Spawn Rule,ArmoredWraith,Unarmored Wraith,Enemies,ModNPC,Natural spawn rules,1,—,75,48,25,No,No,No,SpawnChance,.04f,Pre-Hardmode + Hardmode + SuperHardmode,Meteor,Surface,Night,—,Unspecified,(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneOverworldHeight) && (!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneDirtLayerHeight)) && (!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneRockLayerHeight)),NPCs/Enemies/ArmoredWraith.cs,51
NPC Spawn Rule,ArmoredWraith,Unarmored Wraith,Enemies,ModNPC,Natural spawn rules,1,—,75,48,25,No,No,No,SpawnChance,.04f,Pre-Hardmode + Hardmode + SuperHardmode,Meteor,Underground or Caverns,Night,—,Unspecified,(!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneOverworldHeight)) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneDirtLayerHeight) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneRockLayerHeight),NPCs/Enemies/ArmoredWraith.cs,51
NPC Spawn Rule,ArmoredWraith,Unarmored Wraith,Enemies,ModNPC,Natural spawn rules,1,—,75,48,25,No,No,No,SpawnChance,.033f,Pre-Hardmode + Hardmode + SuperHardmode,Meteor,Underground,Night,—,Unspecified,(!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneOverworldHeight)) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneDirtLayerHeight) && (!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneRockLayerHeight)),NPCs/Enemies/ArmoredWraith.cs,51
NPC Spawn Rule,ArmoredWraith,Unarmored Wraith,Enemies,ModNPC,Natural spawn rules,1,—,75,48,25,No,No,No,SpawnChance,.04f,Pre-Hardmode + Hardmode + SuperHardmode,Meteor,Caverns,Night,—,Unspecified,(!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneOverworldHeight)) && (!(spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneDirtLayerHeight)) && (spawnInfo.Player.ZoneMeteor && !Main.dayTime && spawnInfo.Player.ZoneRockLayerHeight),NPCs/Enemies/ArmoredWraith.cs,51
